"","session.x","Countryname.y","IdealPointDistance","grupo"
"1",70,"Estados Unidos",3.1382497,1
"2",70,"Venezuela",1.0190103,2
"3",70,"Paraguai",0.58595026,2
"4",70,"Argentina",0.4059754,2
"5",70,"Uruguai",0.1148615,2
"6",70,"Rússia",0.7616033,3
"7",70,"África do Sul",0.2638149,3
"8",70,"China",0.3195943,3
"9",70,"Índia",0.3912894,3
"10",71,"Estados Unidos",3.0769879,1
"11",71,"Venezuela",1.0261091,2
"12",71,"Paraguai",0.48754481,2
"13",71,"Argentina",0.3959682,2
"14",71,"Uruguai",0.1146232,2
"15",71,"Rússia",0.7369963,3
"16",71,"África do Sul",0.0257362,3
"17",71,"China",0.085167,3
"18",71,"Índia",0.2135243,3
"19",72,"Estados Unidos",2.9661296,1
"20",72,"Venezuela",1.2936324,2
"21",72,"Paraguai",0.25534503,2
"22",72,"Argentina",0.1952517,2
"23",72,"Uruguai",0.1827854,2
"24",72,"Rússia",0.4187689,3
"25",72,"África do Sul",0.1410363,3
"26",72,"China",0.0656736,3
"27",72,"Índia",0.1138671,3
"28",73,"Estados Unidos",2.8252317,1
"29",73,"Venezuela",1.4618653,2
"30",73,"Paraguai",0.0858858,2
"31",73,"Argentina",0.03550497,2
"32",73,"Uruguai",0.3163583,2
"33",73,"Rússia",0.1849742,3
"34",73,"África do Sul",0.3728711,3
"35",73,"China",0.437615,3
"36",73,"Índia",0.2060629,3
"37",74,"Estados Unidos",2.39454,1
"38",74,"Venezuela",2.113516,2
"39",74,"Paraguai",0.4792812,2
"40",74,"Argentina",0.37591268,2
"41",74,"Uruguai",0.7066213,2
"42",74,"Rússia",0.1696597,3
"43",74,"África do Sul",0.6436731,3
"44",74,"China",0.6306261,3
"45",74,"Índia",0.4739612,3
"46",75,"Estados Unidos",2.4905576,1
"47",75,"Venezuela",2.0951734,2
"48",75,"Paraguai",0.567056,2
"49",75,"Argentina",0.41191464,2
"50",75,"Uruguai",0.39888332,2
"51",75,"Rússia",0.2241679,3
"52",75,"África do Sul",0.6681568,3
"53",75,"China",0.8465651,3
"54",75,"Índia",0.43278253,3
